Episode,Timestep,Drone_X,Drone_Y,Drone_Z,Payload_X,Payload_Y,Payload_Z
2,45,1.417299,7.3841205e-05,3.7744591,1.4406269390245485,-1.0342279125197862e-09,2.7282800550675392
2,46,1.4131097,8.219118e-05,3.7666345,1.4406268969451599,-3.388169339665359e-10,2.7219827915988404
2,47,1.408451,9.0980626e-05,3.7588677,1.4406267392003476,1.6006131553946905e-09,2.715797041757771
2,48,1.4033087,0.00010019692,3.7511415,1.4406265725070457,3.1274163687231935e-09,2.709693377852533
2,49,1.3976717,0.00010982655,3.7434382,1.440626835531817,4.192962695848882e-10,2.703647767206251
2,50,1.3915308,0.00011985608,3.7357414,1.4406272937937663,-2.0328672169661417e-09,2.6976322623806874
2,51,1.3848789,0.00013027214,3.7280347,1.4406277514484298,-6.098991100502646e-09,2.6916344003857535
2,52,1.3777114,0.00014106104,3.7203033,1.4406276427938824,-5.124956822528459e-09,2.6856470156212664
2,53,1.3700254,0.00015220931,3.712533,1.440626266148864,6.802987926331961e-09,2.6796589325036293
2,54,1.3618195,0.00016370391,3.704712,1.4406242715043747,1.546154430364318e-08,2.6736632700882383
2,55,1.353094,0.00017553198,3.6968288,1.4406226083889517,1.3856288943146783e-08,2.6676628166687952
2,56,1.3438501,0.00018768077,3.6888747,1.4406218762435452,2.125699822130843e-09,2.661662384360392
2,57,1.3340907,0.00020013833,3.6808426,1.4406219614429956,-7.0824302222235265e-09,2.655665035599204
2,58,1.323819,0.00021289305,3.6727266,1.4406276659637378,-1.1676124779370718e-08,2.6496810302501
2,59,1.3130397,0.00022593356,3.6645231,1.4406378686120127,1.9230644851161843e-09,2.6437155755678945
2,60,1.3017579,0.00023924896,3.6562302,1.4406487971382262,3.702966606282599e-08,2.6378096874369743
2,61,1.2899797,0.0002528287,3.647848,1.440617238725802,1.387687840580368e-07,2.631986077744765
2,62,1.277712,0.00026666233,3.6393776,1.4404165637795716,2.1453341724943385e-07,2.6262466485968243
2,63,1.2649623,0.00028073968,3.6308227,1.4401255919657723,-2.1992034250225755e-08,2.62061860657218
2,64,1.2517394,0.0002950509,3.6221886,1.439762700906995,-5.92928713168383e-07,2.6150754589656366
2,65,1.2380525,0.00030958647,3.6134815,1.4393529460562462,-1.3886776124502832e-06,2.6096783011520768
2,66,1.2239113,0.00032433693,3.6047091,1.438928457109948,-2.3398963630020344e-06,2.6044742803651357
2,67,1.2093261,0.00033929286,3.5958793,1.4384396247276148,-3.3614207165813906e-06,2.5994542127735483
2,68,1.1943082,0.00035444525,3.5870008,1.4379035765400565,-4.422971499228386e-06,2.5946793163033757
2,69,1.1788687,0.00036978585,3.5780833,1.4373213341339488,-5.425446215082412e-06,2.5901966271922934
2,70,1.1630199,0.00038530637,3.5691354,1.4367085861359554,-6.6291105305556905e-06,2.586066799063417
2,71,1.1467746,0.0004009988,3.5601673,1.4362695771218836,-7.975777927465798e-06,2.582330404495346
2,72,1.1301464,0.0004168556,3.5511878,1.436757281312875,-1.3829709801278456e-05,2.578861229655092
2,73,1.113149,0.00043286924,3.5422056,1.4380081347348481,-2.5264520933852994e-05,2.575643778698051
2,74,1.095797,0.0004490268,3.53323,1.4399929328662258,-3.6165048856167135e-05,2.5725815250400252
2,75,1.0781047,0.0004653255,3.5242696,1.4426085149427734,-4.316874092754025e-05,2.5695473775825275
2,76,1.0600873,0.00048177302,3.5153325,1.4457771840614797,-4.877284310469871e-05,2.566753623490036
2,77,1.04176,0.000498364,3.506427,1.4494018502912713,-5.51479987444682e-05,2.564362574856338
2,78,1.0231376,0.0005150916,3.4975622,1.4533673444064146,-6.136931330561691e-05,2.5624493013171534
2,79,1.004235,0.00053195475,3.4887464,1.4576035086273291,-6.828249803860838e-05,2.561073506076843
2,80,0.9850679,0.0005489518,3.4799874,1.462018456553932,-7.618136883111693e-05,2.56034341765084
2,81,0.96565133,0.0005660834,3.4712932,1.4665165284259656,-8.448467244560407e-05,2.5603456195180097
2,82,0.94600093,0.00058335264,3.4626698,1.4710098716683593,-9.343042389248092e-05,2.5611837407195592
2,83,0.9261322,0.00060076435,3.4541237,1.4754034864341836,-0.00010192993961356219,2.5629691198766977
2,84,0.90606076,0.00061832764,3.4456596,1.4795927686662627,-0.00011047197982359576,2.5657840176973745
